1736.B10.0610	0.505051658	-0.110417888	0.039294393	0.013156896	-0.11363032	0.038720144	-0.127102117	0.149838171	-0.027625186	0.074375756
1721.S8B	-0.122317328	-0.034079481	0.257829933	0.033190021	0.042671241	-0.052786289	0.032148223	-0.059515884	-0.053806748	0.063347788
1883.2011.086.Crump.Artic.LTREB.main.lane3.NoIndex	-0.202532029	-0.061538115	-0.164441363	-0.197696628	-0.11030493	0.109412204	-0.016448321	-0.031194866	-0.022613314	0.018284741
1883.2008.269.Crump.Artic.LTREB.main.lane2.NoIndex	-0.16787415	-0.131512231	0.041076236	-0.248640264	-0.008031761	-0.059464204	-0.022788897	0.056136538	-0.016451277	-0.067827361
755.SSFA.L1.D1.31.05.11.lane1.NoIndex.L001	-0.165159287	-0.048345041	0.02737225	0.070036351	0.110756373	0.036373717	0.010394276	-0.003768605	-0.057528028	0.021882691
550.L4S125.s.4.sequence	0.074105636	0.183232808	0.005751045	-0.066247888	0.112135139	0.107337765	0.126343627	0.012826588	0.025062345	0.014103117
1288.TBE06Nov07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.7.1.sequence	-0.203095888	-0.010349498	-0.125748256	-0.125436119	0.045820205	0.082938147	-0.145928834	-0.010018414	-0.022093519	-0.057922005
1883.2010.301B.Crump.Artic.LTREB.main.lane3.NoIndex	-0.006786206	-0.125659809	-0.154016416	-0.109862823	0.176075579	-0.030073952	-0.042345722	-0.041404062	0.04696035	0.056249378
2192.H03a.Bathroom.Door.Knob.1374.lane5.NoIndex.L005	0.038670799	0.307937035	0.142680717	-0.074256327	0.025003958	-0.149600179	-0.003812095	-0.024487385	0.036810228	-0.01334953
1622.UPMain.101.102A	-0.164325519	-0.129489269	0.291230931	0.220052759	-0.141164156	0.049549589	-0.097089642	-0.006155649	0.464458852	-0.083240875
1774.268.Skin.Puer	0.011973411	0.23224479	0.014316192	0.047705165	0.006797706	-0.051900828	0.010466323	0.010081735	0.006485801	0.041677801
864.13.OTC.addV.noG.noW.lane2.NoIndex	0.043066137	0.22466286	0.145140329	0.048683884	-0.043260702	-0.030333579	0.008722108	0.007168593	-0.010439943	0.051357795
1883.2011.25.Crump.Artic.LTREB.main.lane4.NoIndex	-0.194930288	-0.074681658	-0.115125721	-0.15447717	-0.052936772	0.088092783	-0.053792072	-0.006750482	-0.041561811	-0.052700007
894.C1508.lane5.NoIndex.L005	0.054109705	-0.151171741	-0.070596767	-0.085774573	0.140519813	-0.191422237	0.078421983	-0.027699488	0.068014956	0.135913458
1883.2002.044.Crump.Artic.LTREB.main.lane1.NoIndex	-0.148929586	-0.141443287	-0.05203875	-0.035284315	-0.05073529	0.142700952	0.003780901	0.025420964	0.097814424	0.017314638
1883.2010.223.Crump.Artic.LTREB.main.lane3.NoIndex	-0.200020275	-0.112972146	-0.035843372	-0.038504292	-0.179077772	0.132700318	0.053740563	-0.019722004	0.059274439	0.042193616
